=====================================================================
 SLURM_JOB_ID        = 41408
 SLURM_NODE          = gpic11
 SLURM_JOB_PARTITION = gpi.compute
 You can monitor your Job here: 
 https://dash.tsc.upc.edu:3000/d/ediwvcrdqru9sf/slurm-job-details?orgId=1&var-partition=gpi&var-user=joan.manel.cardenas&var-slurmjobid_id=41408&from=now-24h&to=now
=====================================================================
Number of samples in the test set: 1723
Test Loss: 1.2710319216604586, Test MAE: 2.610750385449256
Real Age: 70.54000091552734, Predicted Age: 71.74
Real Age: 57.650001525878906, Predicted Age: 54.31
Real Age: 64.91999816894531, Predicted Age: 66.43
Real Age: 62.560001373291016, Predicted Age: 63.32
Real Age: 69.18000030517578, Predicted Age: 60.13
Real Age: 71.98999786376953, Predicted Age: 71.49
Real Age: 49.099998474121094, Predicted Age: 53.21
Real Age: 61.45000076293945, Predicted Age: 57.41
Real Age: 64.16000366210938, Predicted Age: 67.83
Real Age: 57.20000076293945, Predicted Age: 58.9
Real Age: 66.73999786376953, Predicted Age: 71.19
Real Age: 57.720001220703125, Predicted Age: 55.35
Real Age: 69.06999969482422, Predicted Age: 69.15
Real Age: 62.43000030517578, Predicted Age: 59.78
Real Age: 74.13999938964844, Predicted Age: 70.94
Real Age: 52.619998931884766, Predicted Age: 52.69
Real Age: 56.650001525878906, Predicted Age: 55.1
Real Age: 68.41000366210938, Predicted Age: 69.36
Real Age: 52.58000183105469, Predicted Age: 52.35
Real Age: 71.81999969482422, Predicted Age: 68.42
Real Age: 67.5199966430664, Predicted Age: 65.32
Real Age: 66.0, Predicted Age: 67.12
Real Age: 58.869998931884766, Predicted Age: 62.38
Real Age: 67.9800033569336, Predicted Age: 69.05
Real Age: 47.900001525878906, Predicted Age: 51.72
Real Age: 64.62999725341797, Predicted Age: 67.31
Real Age: 63.720001220703125, Predicted Age: 65.13
Real Age: 70.91999816894531, Predicted Age: 71.56
Real Age: 73.41999816894531, Predicted Age: 73.11
Real Age: 67.29000091552734, Predicted Age: 60.01
Real Age: 51.68000030517578, Predicted Age: 51.55
Real Age: 55.709999084472656, Predicted Age: 60.04
Real Age: 68.94999694824219, Predicted Age: 68.67
Real Age: 58.310001373291016, Predicted Age: 60.93
Real Age: 69.70999908447266, Predicted Age: 71.96
Real Age: 70.0, Predicted Age: 67.32
Real Age: 69.54000091552734, Predicted Age: 72.05
Real Age: 60.189998626708984, Predicted Age: 53.13
Real Age: 61.58000183105469, Predicted Age: 56.92
Real Age: 62.849998474121094, Predicted Age: 63.17
Real Age: 60.209999084472656, Predicted Age: 62.98
Real Age: 62.63999938964844, Predicted Age: 63.14
Real Age: 56.689998626708984, Predicted Age: 53.41
Real Age: 75.5, Predicted Age: 69.04
Real Age: 69.04000091552734, Predicted Age: 68.82
Real Age: 50.79999923706055, Predicted Age: 54.72
Real Age: 65.94000244140625, Predicted Age: 65.48
Real Age: 71.31999969482422, Predicted Age: 69.96
Real Age: 50.31999969482422, Predicted Age: 53.49
Real Age: 65.9800033569336, Predicted Age: 65.69
Real Age: 53.33000183105469, Predicted Age: 52.93
Real Age: 50.689998626708984, Predicted Age: 53.47
Real Age: 68.5199966430664, Predicted Age: 67.91
Real Age: 64.27999877929688, Predicted Age: 64.09
Real Age: 62.18000030517578, Predicted Age: 60.63
Real Age: 49.959999084472656, Predicted Age: 51.99
Real Age: 59.650001525878906, Predicted Age: 68.14
Real Age: 70.05000305175781, Predicted Age: 69.85
Real Age: 51.06999969482422, Predicted Age: 51.25
Real Age: 60.91999816894531, Predicted Age: 61.35
Real Age: 72.68000030517578, Predicted Age: 74.02
Real Age: 52.59000015258789, Predicted Age: 52.0
Real Age: 74.55000305175781, Predicted Age: 72.55
Real Age: 53.83000183105469, Predicted Age: 54.02
Real Age: 65.19999694824219, Predicted Age: 59.55
Real Age: 49.5099983215332, Predicted Age: 52.02
Real Age: 66.58999633789062, Predicted Age: 62.5
Real Age: 69.41999816894531, Predicted Age: 69.08
Real Age: 68.1500015258789, Predicted Age: 67.07
Real Age: 56.709999084472656, Predicted Age: 57.14
Real Age: 61.599998474121094, Predicted Age: 63.38
Real Age: 62.79999923706055, Predicted Age: 68.44
Real Age: 62.650001525878906, Predicted Age: 63.1
Real Age: 70.54000091552734, Predicted Age: 70.71
Real Age: 59.66999816894531, Predicted Age: 62.57
Real Age: 72.01000213623047, Predicted Age: 70.19
Real Age: 54.869998931884766, Predicted Age: 53.6
Real Age: 52.439998626708984, Predicted Age: 60.9
Real Age: 64.47000122070312, Predicted Age: 64.03
Real Age: 70.36000061035156, Predicted Age: 69.58
Real Age: 68.8499984741211, Predicted Age: 68.01
Real Age: 72.87000274658203, Predicted Age: 70.24
Real Age: 48.619998931884766, Predicted Age: 53.56
Real Age: 68.93000030517578, Predicted Age: 68.11
Real Age: 74.79000091552734, Predicted Age: 72.74
Real Age: 62.439998626708984, Predicted Age: 68.05
Real Age: 63.630001068115234, Predicted Age: 70.09
Real Age: 52.2400016784668, Predicted Age: 55.05
Real Age: 69.01000213623047, Predicted Age: 70.62
Real Age: 67.87999725341797, Predicted Age: 67.02
Real Age: 74.05999755859375, Predicted Age: 66.4
Real Age: 52.04999923706055, Predicted Age: 53.43
Real Age: 65.38999938964844, Predicted Age: 64.31
Real Age: 47.9900016784668, Predicted Age: 51.95
Real Age: 59.900001525878906, Predicted Age: 57.25
Real Age: 53.59000015258789, Predicted Age: 54.81
Real Age: 58.66999816894531, Predicted Age: 52.92
Real Age: 59.25, Predicted Age: 63.19
Real Age: 76.62000274658203, Predicted Age: 74.13
Real Age: 76.31999969482422, Predicted Age: 69.24
Real Age: 54.72999954223633, Predicted Age: 53.44
Real Age: 50.04999923706055, Predicted Age: 51.86
Real Age: 67.43000030517578, Predicted Age: 66.03
Real Age: 67.95999908447266, Predicted Age: 70.11
Real Age: 53.810001373291016, Predicted Age: 58.23
Real Age: 58.29999923706055, Predicted Age: 59.88
Real Age: 68.18000030517578, Predicted Age: 67.84
Real Age: 56.25, Predicted Age: 52.25
Real Age: 54.93000030517578, Predicted Age: 60.23
Real Age: 70.3499984741211, Predicted Age: 72.74
Real Age: 59.47999954223633, Predicted Age: 59.69
Real Age: 53.2400016784668, Predicted Age: 53.19
Real Age: 50.77000045776367, Predicted Age: 55.75
Real Age: 74.22000122070312, Predicted Age: 71.01
Real Age: 71.72000122070312, Predicted Age: 70.86
Real Age: 70.6500015258789, Predicted Age: 69.8
Real Age: 57.16999816894531, Predicted Age: 56.05
Real Age: 64.56999969482422, Predicted Age: 69.32
Real Age: 54.7400016784668, Predicted Age: 57.3
Real Age: 70.88999938964844, Predicted Age: 66.78
Real Age: 62.70000076293945, Predicted Age: 60.99
Real Age: 55.810001373291016, Predicted Age: 52.65
Real Age: 66.05999755859375, Predicted Age: 69.63
Real Age: 66.12999725341797, Predicted Age: 67.91
Real Age: 72.66999816894531, Predicted Age: 70.28
Real Age: 59.77000045776367, Predicted Age: 52.35
Real Age: 64.58000183105469, Predicted Age: 63.56
Real Age: 71.01000213623047, Predicted Age: 65.57
Real Age: 58.0, Predicted Age: 52.13
Real Age: 57.0099983215332, Predicted Age: 58.03
Real Age: 66.69999694824219, Predicted Age: 63.08
Real Age: 59.869998931884766, Predicted Age: 61.57
Real Age: 71.58000183105469, Predicted Age: 71.45
Real Age: 64.41000366210938, Predicted Age: 67.35
Real Age: 67.06999969482422, Predicted Age: 69.45
Real Age: 63.939998626708984, Predicted Age: 68.01
Real Age: 49.720001220703125, Predicted Age: 51.32
Real Age: 63.66999816894531, Predicted Age: 69.36
Real Age: 57.119998931884766, Predicted Age: 64.12
Real Age: 65.91000366210938, Predicted Age: 68.8
Real Age: 76.2699966430664, Predicted Age: 74.09
Real Age: 68.08000183105469, Predicted Age: 71.16
Real Age: 73.06999969482422, Predicted Age: 72.04
Real Age: 53.2599983215332, Predicted Age: 52.46
Real Age: 62.59000015258789, Predicted Age: 64.99
Real Age: 62.529998779296875, Predicted Age: 66.3
Real Age: 64.75, Predicted Age: 63.25
Real Age: 51.0099983215332, Predicted Age: 53.93
Real Age: 67.45999908447266, Predicted Age: 70.77
Real Age: 55.88999938964844, Predicted Age: 59.03
Real Age: 56.779998779296875, Predicted Age: 60.82
Real Age: 69.05000305175781, Predicted Age: 71.07
Real Age: 54.38999938964844, Predicted Age: 56.36
Real Age: 65.75, Predicted Age: 66.33
Real Age: 69.18000030517578, Predicted Age: 71.06
Real Age: 49.7400016784668, Predicted Age: 53.61
Real Age: 68.4000015258789, Predicted Age: 66.04
Real Age: 71.04000091552734, Predicted Age: 70.43
Real Age: 67.91999816894531, Predicted Age: 62.95
Real Age: 62.40999984741211, Predicted Age: 68.56
Real Age: 50.79999923706055, Predicted Age: 53.95
Real Age: 62.09000015258789, Predicted Age: 61.75
Real Age: 67.5999984741211, Predicted Age: 70.05
Real Age: 68.4000015258789, Predicted Age: 70.86
Real Age: 79.01000213623047, Predicted Age: 72.17
Real Age: 49.119998931884766, Predicted Age: 52.86
Real Age: 62.02000045776367, Predicted Age: 65.21
Real Age: 65.05999755859375, Predicted Age: 67.32
Real Age: 48.33000183105469, Predicted Age: 51.69
Real Age: 70.11000061035156, Predicted Age: 71.93
Real Age: 72.01000213623047, Predicted Age: 71.77
Real Age: 52.61000061035156, Predicted Age: 54.04
Real Age: 66.30000305175781, Predicted Age: 62.22
Real Age: 64.04000091552734, Predicted Age: 61.26
Real Age: 54.529998779296875, Predicted Age: 56.46
Real Age: 68.87999725341797, Predicted Age: 68.68
Real Age: 54.779998779296875, Predicted Age: 56.34
Real Age: 58.040000915527344, Predicted Age: 56.59
Real Age: 57.540000915527344, Predicted Age: 61.93
Real Age: 60.34000015258789, Predicted Age: 61.18
Real Age: 70.05000305175781, Predicted Age: 72.53
Real Age: 59.13999938964844, Predicted Age: 52.92
Real Age: 62.68000030517578, Predicted Age: 55.01
Real Age: 67.22000122070312, Predicted Age: 69.18
Real Age: 60.84000015258789, Predicted Age: 60.69
Real Age: 68.55999755859375, Predicted Age: 71.54
Real Age: 62.84000015258789, Predicted Age: 60.88
Real Age: 62.15999984741211, Predicted Age: 61.77
Real Age: 67.52999877929688, Predicted Age: 66.74
Real Age: 59.790000915527344, Predicted Age: 58.37
Real Age: 67.58000183105469, Predicted Age: 66.2
Real Age: 66.80000305175781, Predicted Age: 65.56
Real Age: 66.5, Predicted Age: 66.6
Real Age: 54.91999816894531, Predicted Age: 56.32
Real Age: 73.80999755859375, Predicted Age: 68.88
Real Age: 54.27000045776367, Predicted Age: 58.38
Real Age: 61.189998626708984, Predicted Age: 62.9
Real Age: 61.9900016784668, Predicted Age: 64.42
Real Age: 56.47999954223633, Predicted Age: 53.57
Real Age: 70.04000091552734, Predicted Age: 68.16
Real Age: 61.959999084472656, Predicted Age: 63.41
Real Age: 55.88999938964844, Predicted Age: 69.72
Real Age: 64.5199966430664, Predicted Age: 66.47
Real Age: 52.349998474121094, Predicted Age: 65.5
Real Age: 60.83000183105469, Predicted Age: 62.16
Real Age: 56.970001220703125, Predicted Age: 52.7
Real Age: 60.77000045776367, Predicted Age: 62.18
Real Age: 70.69000244140625, Predicted Age: 72.78
Real Age: 69.16999816894531, Predicted Age: 71.72
Real Age: 68.8499984741211, Predicted Age: 65.26
Real Age: 67.62999725341797, Predicted Age: 65.22
Real Age: 52.720001220703125, Predicted Age: 55.38
Real Age: 65.22000122070312, Predicted Age: 66.0
Real Age: 59.540000915527344, Predicted Age: 69.09
Real Age: 67.3499984741211, Predicted Age: 66.96
Real Age: 50.130001068115234, Predicted Age: 52.6
Real Age: 52.08000183105469, Predicted Age: 54.55
Real Age: 69.38999938964844, Predicted Age: 70.96
Real Age: 55.41999816894531, Predicted Age: 55.79
Real Age: 61.310001373291016, Predicted Age: 65.27
Real Age: 59.25, Predicted Age: 57.39
Real Age: 62.939998626708984, Predicted Age: 66.46
Real Age: 61.90999984741211, Predicted Age: 58.82
Real Age: 61.7599983215332, Predicted Age: 66.53
Real Age: 54.38999938964844, Predicted Age: 55.43
Real Age: 70.08000183105469, Predicted Age: 69.36
Real Age: 53.15999984741211, Predicted Age: 51.84
Real Age: 74.30999755859375, Predicted Age: 70.7
Real Age: 67.44000244140625, Predicted Age: 69.14
Real Age: 55.25, Predicted Age: 52.14
Real Age: 69.81999969482422, Predicted Age: 69.85
Real Age: 55.58000183105469, Predicted Age: 53.87
Real Age: 58.400001525878906, Predicted Age: 55.72
Real Age: 74.6500015258789, Predicted Age: 70.73
Real Age: 65.66999816894531, Predicted Age: 69.44
Real Age: 68.5999984741211, Predicted Age: 69.82
Real Age: 75.2699966430664, Predicted Age: 72.22
Real Age: 67.55000305175781, Predicted Age: 68.47
Real Age: 74.62999725341797, Predicted Age: 72.97
Real Age: 68.41999816894531, Predicted Age: 71.33
Real Age: 56.369998931884766, Predicted Age: 58.01
Real Age: 58.72999954223633, Predicted Age: 57.65
Real Age: 50.619998931884766, Predicted Age: 54.23
Real Age: 59.540000915527344, Predicted Age: 57.6
Real Age: 59.970001220703125, Predicted Age: 63.15
Real Age: 63.7599983215332, Predicted Age: 61.56
Real Age: 62.54999923706055, Predicted Age: 68.94
Real Age: 67.31999969482422, Predicted Age: 71.31
Real Age: 58.150001525878906, Predicted Age: 63.23
Real Age: 54.16999816894531, Predicted Age: 54.0
Real Age: 56.099998474121094, Predicted Age: 57.5
Real Age: 66.6500015258789, Predicted Age: 67.37
Real Age: 61.40999984741211, Predicted Age: 64.73
Real Age: 65.4800033569336, Predicted Age: 62.98
Real Age: 54.09000015258789, Predicted Age: 58.88
Real Age: 48.29999923706055, Predicted Age: 53.67
Real Age: 60.279998779296875, Predicted Age: 53.7
Real Age: 64.66000366210938, Predicted Age: 72.15
Real Age: 58.380001068115234, Predicted Age: 66.69
Real Age: 51.040000915527344, Predicted Age: 55.51
Real Age: 72.02999877929688, Predicted Age: 71.27
Real Age: 66.58000183105469, Predicted Age: 65.36
Real Age: 64.23999786376953, Predicted Age: 74.07
Real Age: 70.30000305175781, Predicted Age: 67.67
Real Age: 63.0099983215332, Predicted Age: 61.59
Real Age: 48.0099983215332, Predicted Age: 51.79
Real Age: 63.2400016784668, Predicted Age: 68.89
Real Age: 66.13999938964844, Predicted Age: 62.97
Real Age: 70.27999877929688, Predicted Age: 70.96
Real Age: 62.040000915527344, Predicted Age: 62.96
Real Age: 63.349998474121094, Predicted Age: 64.97
Real Age: 62.38999938964844, Predicted Age: 61.2
Real Age: 70.62000274658203, Predicted Age: 66.16
Real Age: 66.41999816894531, Predicted Age: 65.81
Real Age: 54.5099983215332, Predicted Age: 52.97
Real Age: 53.08000183105469, Predicted Age: 52.74
Real Age: 57.27000045776367, Predicted Age: 59.05
Real Age: 49.959999084472656, Predicted Age: 54.02
Real Age: 56.560001373291016, Predicted Age: 55.36
Real Age: 67.94999694824219, Predicted Age: 68.72
Real Age: 70.11000061035156, Predicted Age: 65.81
Real Age: 58.970001220703125, Predicted Age: 63.8
Real Age: 65.5, Predicted Age: 68.25
Real Age: 49.2400016784668, Predicted Age: 51.59
Real Age: 66.62000274658203, Predicted Age: 66.64
Real Age: 60.959999084472656, Predicted Age: 68.68
Real Age: 70.2300033569336, Predicted Age: 67.47
Real Age: 66.81999969482422, Predicted Age: 60.22
Real Age: 66.62999725341797, Predicted Age: 65.7
Real Age: 52.06999969482422, Predicted Age: 55.3
Real Age: 54.20000076293945, Predicted Age: 60.39
Real Age: 48.72999954223633, Predicted Age: 51.59
Real Age: 63.75, Predicted Age: 59.42
Real Age: 58.97999954223633, Predicted Age: 61.24
Real Age: 60.52000045776367, Predicted Age: 65.25
Real Age: 53.150001525878906, Predicted Age: 52.28
Real Age: 51.31999969482422, Predicted Age: 52.11
Real Age: 71.4000015258789, Predicted Age: 71.56
Real Age: 54.099998474121094, Predicted Age: 58.13
Real Age: 68.5999984741211, Predicted Age: 71.21
Real Age: 63.2400016784668, Predicted Age: 69.88
Real Age: 61.09000015258789, Predicted Age: 57.32
Real Age: 51.83000183105469, Predicted Age: 54.09
Real Age: 63.060001373291016, Predicted Age: 66.03
Real Age: 72.9800033569336, Predicted Age: 69.59
Real Age: 56.4900016784668, Predicted Age: 56.72
Real Age: 68.52999877929688, Predicted Age: 70.74
Real Age: 71.16000366210938, Predicted Age: 68.97
Real Age: 67.47000122070312, Predicted Age: 69.12
Real Age: 61.25, Predicted Age: 57.65
Real Age: 70.80999755859375, Predicted Age: 69.31
Real Age: 65.62000274658203, Predicted Age: 60.92
Real Age: 68.5999984741211, Predicted Age: 71.25
Real Age: 56.880001068115234, Predicted Age: 58.1
Real Age: 56.47999954223633, Predicted Age: 57.68
Real Age: 64.33999633789062, Predicted Age: 57.4
Real Age: 65.87000274658203, Predicted Age: 65.79
Real Age: 62.52000045776367, Predicted Age: 60.79
Real Age: 56.130001068115234, Predicted Age: 59.53
Real Age: 49.150001525878906, Predicted Age: 52.07
Real Age: 49.66999816894531, Predicted Age: 52.53
Real Age: 51.540000915527344, Predicted Age: 51.96
Real Age: 58.33000183105469, Predicted Age: 60.77
Real Age: 53.9900016784668, Predicted Age: 54.93
Real Age: 65.12999725341797, Predicted Age: 69.79
Real Age: 58.720001220703125, Predicted Age: 59.42
Real Age: 67.4800033569336, Predicted Age: 63.19
Real Age: 56.529998779296875, Predicted Age: 56.35
Real Age: 57.130001068115234, Predicted Age: 57.39
Real Age: 51.9900016784668, Predicted Age: 53.67
Real Age: 63.86000061035156, Predicted Age: 66.97
Real Age: 75.87000274658203, Predicted Age: 72.12
Real Age: 69.36000061035156, Predicted Age: 70.71
Real Age: 77.36000061035156, Predicted Age: 74.91
Real Age: 69.7300033569336, Predicted Age: 71.27
Real Age: 59.66999816894531, Predicted Age: 53.11
Real Age: 59.720001220703125, Predicted Age: 59.14
Real Age: 69.58999633789062, Predicted Age: 69.47
Real Age: 69.06999969482422, Predicted Age: 66.86
Real Age: 48.209999084472656, Predicted Age: 52.62
Real Age: 71.01000213623047, Predicted Age: 66.08
Real Age: 71.36000061035156, Predicted Age: 69.02
Real Age: 65.51000213623047, Predicted Age: 67.96
Real Age: 70.72000122070312, Predicted Age: 71.03
Real Age: 56.029998779296875, Predicted Age: 55.94
Real Age: 68.3499984741211, Predicted Age: 70.65
Real Age: 53.63999938964844, Predicted Age: 53.26
Real Age: 57.15999984741211, Predicted Age: 56.68
Real Age: 70.22000122070312, Predicted Age: 72.44
Real Age: 64.13999938964844, Predicted Age: 62.09
Real Age: 62.599998474121094, Predicted Age: 59.35
Real Age: 70.55999755859375, Predicted Age: 71.57
Real Age: 71.80999755859375, Predicted Age: 70.75
Real Age: 63.41999816894531, Predicted Age: 69.85
Real Age: 61.31999969482422, Predicted Age: 62.14
Real Age: 51.38999938964844, Predicted Age: 52.3
Real Age: 67.0999984741211, Predicted Age: 62.25
Real Age: 65.94999694824219, Predicted Age: 65.21
Real Age: 59.0, Predicted Age: 60.36
Real Age: 75.80999755859375, Predicted Age: 72.39
Real Age: 57.7599983215332, Predicted Age: 56.34
Real Age: 55.4900016784668, Predicted Age: 53.09
Real Age: 63.209999084472656, Predicted Age: 64.3
Real Age: 55.66999816894531, Predicted Age: 54.1
Real Age: 67.7300033569336, Predicted Age: 69.27
Real Age: 59.650001525878906, Predicted Age: 55.43
Real Age: 59.099998474121094, Predicted Age: 61.62
Real Age: 59.689998626708984, Predicted Age: 62.8
Real Age: 69.43000030517578, Predicted Age: 69.01
Real Age: 49.7599983215332, Predicted Age: 52.0
Real Age: 55.900001525878906, Predicted Age: 52.14
Real Age: 71.08999633789062, Predicted Age: 67.79
Real Age: 60.0, Predicted Age: 64.31
Real Age: 74.2699966430664, Predicted Age: 66.13
Real Age: 50.38999938964844, Predicted Age: 53.01
Real Age: 60.90999984741211, Predicted Age: 59.44
Real Age: 52.97999954223633, Predicted Age: 52.16
Real Age: 66.05000305175781, Predicted Age: 66.65
Real Age: 56.619998931884766, Predicted Age: 53.73
Real Age: 57.040000915527344, Predicted Age: 52.79
Real Age: 69.11000061035156, Predicted Age: 68.71
Real Age: 64.16999816894531, Predicted Age: 67.17
Real Age: 59.560001373291016, Predicted Age: 58.02
Real Age: 60.70000076293945, Predicted Age: 57.88
Real Age: 61.95000076293945, Predicted Age: 69.28
Real Age: 73.4800033569336, Predicted Age: 71.53
Real Age: 70.05999755859375, Predicted Age: 63.88
Real Age: 58.04999923706055, Predicted Age: 55.23
Real Age: 62.970001220703125, Predicted Age: 59.9
Real Age: 69.16999816894531, Predicted Age: 70.36
Real Age: 54.77000045776367, Predicted Age: 52.37
Real Age: 74.9800033569336, Predicted Age: 71.04
Real Age: 62.59000015258789, Predicted Age: 62.54
Real Age: 61.880001068115234, Predicted Age: 64.3
Real Age: 65.69999694824219, Predicted Age: 68.72
Real Age: 72.04000091552734, Predicted Age: 67.8
Real Age: 61.5099983215332, Predicted Age: 57.97
Real Age: 54.529998779296875, Predicted Age: 52.26
Real Age: 60.900001525878906, Predicted Age: 62.58
Real Age: 60.13999938964844, Predicted Age: 63.47
Real Age: 66.29000091552734, Predicted Age: 64.61
Real Age: 49.599998474121094, Predicted Age: 51.75
Real Age: 76.41000366210938, Predicted Age: 74.92
Real Age: 67.58999633789062, Predicted Age: 66.98
Real Age: 56.849998474121094, Predicted Age: 57.03
Real Age: 73.87999725341797, Predicted Age: 73.77
Real Age: 49.13999938964844, Predicted Age: 52.27
Real Age: 73.76000213623047, Predicted Age: 72.11
Real Age: 71.63999938964844, Predicted Age: 70.71
Real Age: 70.05999755859375, Predicted Age: 70.41
Real Age: 65.08999633789062, Predicted Age: 70.41
Real Age: 63.29999923706055, Predicted Age: 67.4
Real Age: 59.810001373291016, Predicted Age: 54.15
Real Age: 51.619998931884766, Predicted Age: 56.26
Real Age: 73.7699966430664, Predicted Age: 72.9
Real Age: 65.95999908447266, Predicted Age: 63.42
Real Age: 48.88999938964844, Predicted Age: 52.81
Real Age: 59.380001068115234, Predicted Age: 64.2
Real Age: 53.27000045776367, Predicted Age: 53.56
Real Age: 56.7599983215332, Predicted Age: 54.71
Real Age: 54.7400016784668, Predicted Age: 54.21
Real Age: 63.380001068115234, Predicted Age: 62.91
Real Age: 65.95999908447266, Predicted Age: 69.59
Real Age: 56.650001525878906, Predicted Age: 59.73
Real Age: 63.880001068115234, Predicted Age: 60.78
Real Age: 67.11000061035156, Predicted Age: 68.65
Real Age: 63.33000183105469, Predicted Age: 61.48
Real Age: 69.4800033569336, Predicted Age: 66.16
Real Age: 53.5, Predicted Age: 53.99
Real Age: 55.47999954223633, Predicted Age: 54.01
Real Age: 54.310001373291016, Predicted Age: 61.23
Real Age: 52.36000061035156, Predicted Age: 53.49
Real Age: 50.88999938964844, Predicted Age: 52.12
Real Age: 58.290000915527344, Predicted Age: 56.25
Real Age: 71.47000122070312, Predicted Age: 67.11
Real Age: 59.90999984741211, Predicted Age: 61.62
Real Age: 55.43000030517578, Predicted Age: 52.98
Real Age: 66.69999694824219, Predicted Age: 68.87
Real Age: 51.97999954223633, Predicted Age: 53.92
Real Age: 51.08000183105469, Predicted Age: 52.82
Real Age: 72.16999816894531, Predicted Age: 71.68
Real Age: 66.45999908447266, Predicted Age: 69.7
Real Age: 63.939998626708984, Predicted Age: 64.97
Real Age: 65.80000305175781, Predicted Age: 66.99
Real Age: 53.97999954223633, Predicted Age: 54.38
Real Age: 62.47999954223633, Predicted Age: 62.36
Real Age: 63.72999954223633, Predicted Age: 56.64
Real Age: 54.779998779296875, Predicted Age: 56.87
Real Age: 67.16999816894531, Predicted Age: 67.09
Real Age: 66.6500015258789, Predicted Age: 71.03
Real Age: 61.77000045776367, Predicted Age: 58.46
Real Age: 59.29999923706055, Predicted Age: 58.57
Real Age: 57.709999084472656, Predicted Age: 57.26
Real Age: 58.95000076293945, Predicted Age: 57.18
Real Age: 61.279998779296875, Predicted Age: 66.83
Real Age: 67.44999694824219, Predicted Age: 72.0
Real Age: 52.41999816894531, Predicted Age: 52.7
Real Age: 51.02000045776367, Predicted Age: 51.78
Real Age: 74.4000015258789, Predicted Age: 70.83
Real Age: 54.060001373291016, Predicted Age: 52.79
Real Age: 73.76000213623047, Predicted Age: 72.19
Real Age: 54.2400016784668, Predicted Age: 56.43
Real Age: 62.61000061035156, Predicted Age: 63.54
Real Age: 65.36000061035156, Predicted Age: 60.42
Real Age: 53.810001373291016, Predicted Age: 52.39
Real Age: 66.22000122070312, Predicted Age: 67.0
Real Age: 66.16000366210938, Predicted Age: 66.67
Real Age: 49.72999954223633, Predicted Age: 54.52
Real Age: 71.05000305175781, Predicted Age: 66.09
Real Age: 71.3499984741211, Predicted Age: 69.75
Real Age: 50.619998931884766, Predicted Age: 53.41
Real Age: 51.9900016784668, Predicted Age: 53.63
Real Age: 57.97999954223633, Predicted Age: 59.75
Real Age: 73.68000030517578, Predicted Age: 72.13
Real Age: 61.439998626708984, Predicted Age: 68.42
Real Age: 61.900001525878906, Predicted Age: 65.19
Real Age: 69.3499984741211, Predicted Age: 69.98
Real Age: 52.20000076293945, Predicted Age: 57.17
Real Age: 55.15999984741211, Predicted Age: 52.45
Real Age: 54.0099983215332, Predicted Age: 53.49
Real Age: 55.81999969482422, Predicted Age: 55.87
Real Age: 69.41000366210938, Predicted Age: 71.74
Real Age: 63.61000061035156, Predicted Age: 62.92
Real Age: 69.05999755859375, Predicted Age: 68.81
Real Age: 63.220001220703125, Predicted Age: 64.02
Real Age: 58.5, Predicted Age: 59.04
Real Age: 65.93000030517578, Predicted Age: 59.98
Real Age: 54.25, Predicted Age: 56.9
Real Age: 75.36000061035156, Predicted Age: 70.9
Real Age: 54.66999816894531, Predicted Age: 53.29
Real Age: 72.45999908447266, Predicted Age: 74.3
Real Age: 50.790000915527344, Predicted Age: 53.66
Real Age: 49.560001373291016, Predicted Age: 51.84
Real Age: 60.869998931884766, Predicted Age: 58.63
Real Age: 62.40999984741211, Predicted Age: 59.2
Real Age: 62.25, Predicted Age: 66.51
Real Age: 65.20999908447266, Predicted Age: 65.29
Real Age: 58.7599983215332, Predicted Age: 64.04
Real Age: 61.54999923706055, Predicted Age: 60.06
Real Age: 57.29999923706055, Predicted Age: 58.43
Real Age: 58.83000183105469, Predicted Age: 66.95
Real Age: 56.45000076293945, Predicted Age: 55.92
Real Age: 62.79999923706055, Predicted Age: 67.67
Real Age: 57.84000015258789, Predicted Age: 54.08
Real Age: 56.369998931884766, Predicted Age: 58.89
Real Age: 64.33000183105469, Predicted Age: 62.13
Real Age: 58.4900016784668, Predicted Age: 68.92
Real Age: 65.44000244140625, Predicted Age: 67.36
Real Age: 53.7599983215332, Predicted Age: 53.63
Real Age: 57.81999969482422, Predicted Age: 59.81
Real Age: 68.25, Predicted Age: 69.78
Real Age: 69.55000305175781, Predicted Age: 69.4
Real Age: 62.61000061035156, Predicted Age: 62.11
Real Age: 66.80000305175781, Predicted Age: 68.99
Real Age: 50.93000030517578, Predicted Age: 54.11
Real Age: 49.56999969482422, Predicted Age: 51.76
Real Age: 69.13999938964844, Predicted Age: 68.7
Real Age: 71.66000366210938, Predicted Age: 72.45
Real Age: 58.790000915527344, Predicted Age: 59.9
Real Age: 65.05999755859375, Predicted Age: 64.7
Real Age: 64.66999816894531, Predicted Age: 62.82
Real Age: 67.9800033569336, Predicted Age: 69.82
Real Age: 54.95000076293945, Predicted Age: 59.68
Real Age: 75.87999725341797, Predicted Age: 70.32
Real Age: 56.04999923706055, Predicted Age: 54.48
Real Age: 56.959999084472656, Predicted Age: 59.93
Real Age: 59.40999984741211, Predicted Age: 65.04
Real Age: 63.630001068115234, Predicted Age: 61.12
Real Age: 70.23999786376953, Predicted Age: 72.06
Real Age: 66.95999908447266, Predicted Age: 70.47
Real Age: 69.12999725341797, Predicted Age: 70.02
Real Age: 65.7300033569336, Predicted Age: 69.43
Real Age: 66.83000183105469, Predicted Age: 68.55
